C:\Users\UMI\Desktop\disrl\myenv\Lib\site-packages\gym\utils\passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode 1: Reward: 18.0, Loss: None
Episode 2: Reward: 16.0, Loss: 0.4977347254753113
Episode 3: Reward: 31.0, Loss: 0.48578211665153503
Episode 4: Reward: 9.0, Loss: 0.4795425534248352
Episode 5: Reward: 10.0, Loss: 0.4755546450614929
Episode 6: Reward: 8.0, Loss: 0.4702305495738983
Episode 7: Reward: 9.0, Loss: 0.4582749009132385
Episode 8: Reward: 10.0, Loss: 0.44556885957717896
Episode 9: Reward: 10.0, Loss: 0.4364864230155945
Episode 10: Reward: 10.0, Loss: 0.4307117760181427
Episode 11: Reward: 10.0, Loss: 0.40389692783355713
Episode 12: Reward: 9.0, Loss: 0.38738614320755005
Episode 13: Reward: 9.0, Loss: 0.36733579635620117
Episode 14: Reward: 9.0, Loss: 0.3517090082168579
Episode 15: Reward: 9.0, Loss: 0.31699126958847046
Episode 16: Reward: 9.0, Loss: 0.2943604588508606
Episode 17: Reward: 10.0, Loss: 0.260633260011673
Episode 18: Reward: 11.0, Loss: 0.27523815631866455
Episode 19: Reward: 13.0, Loss: 0.2562381625175476
Episode 20: Reward: 8.0, Loss: 0.22605657577514648
Episode 21: Reward: 9.0, Loss: 0.2223062664270401
Episode 22: Reward: 10.0, Loss: 0.16238988935947418
Episode 23: Reward: 9.0, Loss: 0.18695677816867828
Episode 24: Reward: 8.0, Loss: 0.15833237767219543
Episode 25: Reward: 10.0, Loss: 0.12898343801498413
Episode 26: Reward: 10.0, Loss: 0.14316706359386444
Episode 27: Reward: 11.0, Loss: 0.14870792627334595
Episode 28: Reward: 10.0, Loss: 0.12178254872560501
Episode 29: Reward: 9.0, Loss: 0.11921659111976624
Episode 30: Reward: 11.0, Loss: 0.1305389404296875
Episode 31: Reward: 9.0, Loss: 0.13596011698246002
Episode 32: Reward: 9.0, Loss: 0.11023611575365067
Episode 33: Reward: 11.0, Loss: 0.08538764715194702
Episode 34: Reward: 10.0, Loss: 0.10384434461593628
Episode 35: Reward: 9.0, Loss: 0.05323426425457001
Episode 36: Reward: 10.0, Loss: 0.09633538126945496
Episode 37: Reward: 10.0, Loss: 0.08049163222312927
Episode 38: Reward: 9.0, Loss: 0.0851079672574997
Episode 39: Reward: 10.0, Loss: 0.09048517048358917
Episode 40: Reward: 9.0, Loss: 0.07286481559276581
Episode 41: Reward: 11.0, Loss: 0.06994238495826721
Episode 42: Reward: 10.0, Loss: 0.07698152214288712
Episode 43: Reward: 10.0, Loss: 0.07947014272212982
Episode 44: Reward: 10.0, Loss: 0.055651161819696426
Episode 45: Reward: 10.0, Loss: 0.06761308759450912
Episode 46: Reward: 14.0, Loss: 0.059778451919555664
Episode 47: Reward: 20.0, Loss: 0.05513677000999451
Episode 48: Reward: 20.0, Loss: 0.03724327310919762
Episode 49: Reward: 24.0, Loss: 0.024274304509162903
Episode 50: Reward: 28.0, Loss: 0.03948286920785904
Episode 51: Reward: 44.0, Loss: 0.028903057798743248
Episode 52: Reward: 10.0, Loss: 0.2011328637599945
Episode 53: Reward: 29.0, Loss: 0.05648069828748703
Episode 54: Reward: 13.0, Loss: 0.02114821970462799
Episode 55: Reward: 11.0, Loss: 0.021185874938964844
Episode 56: Reward: 8.0, Loss: 0.01924099400639534
Episode 57: Reward: 11.0, Loss: 0.017699453979730606
Episode 58: Reward: 9.0, Loss: 0.030804403126239777
Episode 59: Reward: 11.0, Loss: 0.021729877218604088
Episode 60: Reward: 10.0, Loss: 0.015265380963683128
Episode 61: Reward: 9.0, Loss: 0.016577722504734993
Episode 62: Reward: 10.0, Loss: 0.012686707079410553
Episode 63: Reward: 9.0, Loss: 0.022638071328401566
Episode 64: Reward: 10.0, Loss: 0.01336972787976265
Episode 65: Reward: 9.0, Loss: 0.009411877021193504
Episode 66: Reward: 11.0, Loss: 0.008822228759527206
