C:\Users\UMI\Desktop\disrl\myenv\Lib\site-packages\gym\utils\passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode 1: Reward: 12.0, Loss: None
Episode 2: Reward: 18.0, Loss: None
Episode 3: Reward: 18.0, Loss: 3.9195046424865723
Episode 4: Reward: 30.0, Loss: 3.8683886528015137
Episode 5: Reward: 25.0, Loss: 3.82936429977417
Episode 6: Reward: 18.0, Loss: 3.8007314205169678
Episode 7: Reward: 13.0, Loss: 3.751418113708496
Episode 8: Reward: 18.0, Loss: 3.6648263931274414
Episode 9: Reward: 17.0, Loss: 3.593069553375244
Episode 10: Reward: 25.0, Loss: 3.6018118858337402
Episode 11: Reward: 13.0, Loss: 3.54298996925354
Episode 12: Reward: 27.0, Loss: 3.4968719482421875
Episode 13: Reward: 13.0, Loss: 3.426866054534912
Episode 14: Reward: 12.0, Loss: 3.3558220863342285
Episode 15: Reward: 22.0, Loss: 3.1804521083831787
Episode 16: Reward: 60.0, Loss: 2.930150032043457
Episode 17: Reward: 36.0, Loss: 2.4451422691345215
Episode 18: Reward: 35.0, Loss: 2.313488483428955
Episode 19: Reward: 12.0, Loss: 2.1652283668518066
Episode 20: Reward: 13.0, Loss: 2.0125603675842285
Episode 21: Reward: 26.0, Loss: 2.056489944458008
Episode 22: Reward: 34.0, Loss: 1.6628493070602417
Episode 23: Reward: 18.0, Loss: 1.4168510437011719
Episode 24: Reward: 39.0, Loss: 1.4130737781524658
Episode 25: Reward: 39.0, Loss: 1.1871261596679688
Episode 26: Reward: 13.0, Loss: 0.8753179907798767
Episode 27: Reward: 25.0, Loss: 1.0662471055984497
Episode 28: Reward: 29.0, Loss: 0.8197121620178223
C:\Users\UMI\Desktop\disrl\c51.py:117: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
  return int(action)  # Ensure action is an integer
Episode 29: Reward: 15.0, Loss: 0.6963858604431152
Episode 30: Reward: 11.0, Loss: 0.5675225257873535
Episode 31: Reward: 23.0, Loss: 0.5202810168266296
Episode 32: Reward: 9.0, Loss: 0.8292034864425659
Episode 33: Reward: 22.0, Loss: 0.6492499113082886
Episode 34: Reward: 15.0, Loss: 0.7262845039367676
Episode 35: Reward: 11.0, Loss: 0.6444110870361328
Episode 36: Reward: 18.0, Loss: 0.5247485041618347
Episode 37: Reward: 29.0, Loss: 0.5433261394500732
Episode 38: Reward: 20.0, Loss: 0.6753602027893066
Episode 39: Reward: 11.0, Loss: 0.4794490933418274
Episode 40: Reward: 14.0, Loss: 0.6473400592803955
Episode 41: Reward: 14.0, Loss: 0.686382532119751
Episode 42: Reward: 10.0, Loss: 0.6585627198219299
Episode 43: Reward: 13.0, Loss: 0.5785188674926758
Episode 44: Reward: 14.0, Loss: 0.501684844493866
Episode 45: Reward: 28.0, Loss: 0.6148415803909302
Episode 46: Reward: 16.0, Loss: 0.5160443782806396
Episode 47: Reward: 19.0, Loss: 0.43707168102264404
Episode 48: Reward: 10.0, Loss: 0.49366551637649536
Episode 49: Reward: 18.0, Loss: 0.3597604036331177
Episode 50: Reward: 15.0, Loss: 0.57837975025177
Episode 51: Reward: 32.0, Loss: 0.6236985921859741
Episode 52: Reward: 28.0, Loss: 0.49771052598953247
Episode 53: Reward: 11.0, Loss: 0.505092203617096
Episode 54: Reward: 22.0, Loss: 0.46081864833831787
Episode 55: Reward: 21.0, Loss: 0.4901168942451477
Episode 56: Reward: 17.0, Loss: 0.7255673408508301
Episode 57: Reward: 14.0, Loss: 0.3933616280555725
Episode 58: Reward: 14.0, Loss: 0.6537625193595886
Episode 59: Reward: 13.0, Loss: 0.45971110463142395
Episode 60: Reward: 32.0, Loss: 0.4563869833946228
Episode 61: Reward: 22.0, Loss: 0.3760080337524414
Episode 62: Reward: 14.0, Loss: 0.6118900775909424
Episode 63: Reward: 15.0, Loss: 0.44061824679374695
Episode 64: Reward: 21.0, Loss: 0.3253060281276703
Episode 65: Reward: 28.0, Loss: 0.687691330909729
Episode 66: Reward: 12.0, Loss: 0.3618142902851105
Episode 67: Reward: 15.0, Loss: 0.5063284635543823
Episode 68: Reward: 20.0, Loss: 0.3530898988246918
Episode 69: Reward: 12.0, Loss: 0.5768569707870483
Episode 70: Reward: 10.0, Loss: 0.5048255920410156
Episode 71: Reward: 13.0, Loss: 0.3956253230571747
Episode 72: Reward: 9.0, Loss: 0.5959329605102539
Episode 73: Reward: 13.0, Loss: 0.6459259986877441
Episode 74: Reward: 11.0, Loss: 0.31833234429359436
Episode 75: Reward: 12.0, Loss: 0.5789846777915955
Episode 76: Reward: 19.0, Loss: 0.42928653955459595
Episode 77: Reward: 36.0, Loss: 0.4797408878803253
Episode 78: Reward: 21.0, Loss: 0.6436567306518555
Episode 79: Reward: 17.0, Loss: 0.6282716989517212
Episode 80: Reward: 26.0, Loss: 0.5586140155792236
Episode 81: Reward: 16.0, Loss: 0.49445974826812744
Episode 82: Reward: 10.0, Loss: 0.7130790948867798
Episode 83: Reward: 25.0, Loss: 0.4499501585960388
Episode 84: Reward: 21.0, Loss: 0.5653610229492188
Episode 85: Reward: 33.0, Loss: 0.3241405785083771
Episode 86: Reward: 16.0, Loss: 0.3577474355697632
Episode 87: Reward: 21.0, Loss: 0.47891491651535034
Episode 88: Reward: 14.0, Loss: 0.31299909949302673
Episode 89: Reward: 14.0, Loss: 0.5699051022529602
Episode 90: Reward: 20.0, Loss: 0.4000416100025177
Episode 91: Reward: 23.0, Loss: 0.3940171003341675
Episode 92: Reward: 22.0, Loss: 0.44169241189956665
Episode 93: Reward: 12.0, Loss: 0.5468776822090149
Episode 94: Reward: 15.0, Loss: 0.5439223647117615
Episode 95: Reward: 15.0, Loss: 0.5159158706665039
Episode 96: Reward: 19.0, Loss: 0.6027218699455261
Episode 97: Reward: 26.0, Loss: 0.5693215131759644
Episode 98: Reward: 22.0, Loss: 0.42524343729019165
Episode 99: Reward: 26.0, Loss: 0.38469040393829346
Episode 100: Reward: 18.0, Loss: 0.560291051864624
Episode 101: Reward: 34.0, Loss: 0.38131073117256165
Episode 102: Reward: 20.0, Loss: 0.476171612739563
Episode 103: Reward: 39.0, Loss: 0.4752958416938782
Episode 104: Reward: 18.0, Loss: 0.4435844421386719
Episode 105: Reward: 21.0, Loss: 0.31815940141677856
Episode 106: Reward: 28.0, Loss: 0.42071688175201416
Episode 107: Reward: 19.0, Loss: 0.28243404626846313
Episode 108: Reward: 12.0, Loss: 0.4564598500728607
Episode 109: Reward: 20.0, Loss: 0.47651296854019165
Episode 110: Reward: 13.0, Loss: 0.4441031217575073
Episode 111: Reward: 23.0, Loss: 0.5853006839752197
Episode 112: Reward: 20.0, Loss: 0.4441970884799957
Episode 113: Reward: 39.0, Loss: 0.3244999349117279
Episode 114: Reward: 13.0, Loss: 0.47109177708625793
Episode 115: Reward: 23.0, Loss: 0.379952609539032
Episode 116: Reward: 31.0, Loss: 0.46384820342063904
Episode 117: Reward: 12.0, Loss: 0.47320204973220825
Episode 118: Reward: 35.0, Loss: 0.5553299188613892
Episode 119: Reward: 14.0, Loss: 0.3574095368385315
Episode 120: Reward: 24.0, Loss: 0.36054879426956177
Episode 121: Reward: 21.0, Loss: 0.5556691884994507
Episode 122: Reward: 13.0, Loss: 0.5638508200645447
Episode 123: Reward: 11.0, Loss: 0.3963112235069275
Episode 124: Reward: 13.0, Loss: 0.4930826723575592
Episode 125: Reward: 19.0, Loss: 0.30983245372772217
Episode 126: Reward: 36.0, Loss: 0.40577343106269836
Episode 127: Reward: 11.0, Loss: 0.5183253288269043
Episode 128: Reward: 37.0, Loss: 0.41621828079223633
Episode 129: Reward: 21.0, Loss: 0.2851032018661499
Episode 130: Reward: 21.0, Loss: 0.4068669080734253
Episode 131: Reward: 23.0, Loss: 0.4265824556350708
