C:\Users\UMI\Desktop\disrl\myenv\Lib\site-packages\gym\utils\passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode 1: Reward: 14.0, Loss: None
Episode 2: Reward: 13.0, Loss: None
Episode 3: Reward: 33.0, Loss: 3.9032340049743652
Episode 4: Reward: 12.0, Loss: 3.8619656562805176
Episode 5: Reward: 14.0, Loss: 3.8511874675750732
Episode 6: Reward: 17.0, Loss: 3.7898736000061035
Episode 7: Reward: 12.0, Loss: 3.750401735305786
Episode 8: Reward: 41.0, Loss: 3.7502400875091553
Episode 9: Reward: 12.0, Loss: 3.6852893829345703
Episode 10: Reward: 11.0, Loss: 3.619485855102539
Episode 11: Reward: 31.0, Loss: 3.5507330894470215
Episode 12: Reward: 25.0, Loss: 3.5154614448547363
Episode 13: Reward: 19.0, Loss: 3.360731363296509
Episode 14: Reward: 25.0, Loss: 3.227330207824707
Episode 15: Reward: 21.0, Loss: 3.2404820919036865
Episode 16: Reward: 14.0, Loss: 2.99357533454895
Episode 17: Reward: 19.0, Loss: 2.9472031593322754
Episode 18: Reward: 30.0, Loss: 2.751432418823242
Episode 19: Reward: 15.0, Loss: 2.6314697265625
Episode 20: Reward: 16.0, Loss: 2.443633556365967
Episode 21: Reward: 15.0, Loss: 2.484053611755371
Episode 22: Reward: 38.0, Loss: 1.9014275074005127
Episode 23: Reward: 13.0, Loss: 1.7310748100280762
Episode 24: Reward: 15.0, Loss: 1.8966007232666016
Episode 25: Reward: 65.0, Loss: 1.2362141609191895
Episode 26: Reward: 24.0, Loss: 1.2892577648162842
Episode 27: Reward: 34.0, Loss: 1.1070876121520996
Episode 28: Reward: 33.0, Loss: 0.9676449298858643
Episode 29: Reward: 19.0, Loss: 0.8968290090560913
Episode 30: Reward: 11.0, Loss: 0.7277240753173828
Episode 31: Reward: 24.0, Loss: 0.8109017610549927
Episode 32: Reward: 13.0, Loss: 0.6208218932151794
Episode 33: Reward: 14.0, Loss: 0.5233837366104126
Episode 34: Reward: 22.0, Loss: 0.5784623622894287
Episode 35: Reward: 49.0, Loss: 0.5425476431846619
Episode 36: Reward: 11.0, Loss: 0.6823275685310364
C:\Users\UMI\Desktop\disrl\c51.py:117: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
  return int(action)  # Ensure action is an integer
Episode 37: Reward: 22.0, Loss: 0.7938112020492554
Episode 38: Reward: 30.0, Loss: 0.5309005975723267
Episode 39: Reward: 14.0, Loss: 0.45868146419525146
Episode 40: Reward: 10.0, Loss: 0.6062202453613281
Episode 41: Reward: 31.0, Loss: 0.5336415767669678
Episode 42: Reward: 39.0, Loss: 0.5329998135566711
Episode 43: Reward: 23.0, Loss: 0.4892340898513794
Episode 44: Reward: 17.0, Loss: 0.5508602857589722
Episode 45: Reward: 15.0, Loss: 0.42631345987319946
Episode 46: Reward: 9.0, Loss: 0.5077716112136841
Episode 47: Reward: 44.0, Loss: 0.34602415561676025
Episode 48: Reward: 20.0, Loss: 0.41653144359588623
Episode 49: Reward: 13.0, Loss: 0.4937794804573059
Episode 50: Reward: 21.0, Loss: 0.545920729637146
Episode 51: Reward: 16.0, Loss: 0.4913328289985657
Episode 52: Reward: 13.0, Loss: 0.4447420835494995
Episode 53: Reward: 14.0, Loss: 0.41235455870628357
Episode 54: Reward: 35.0, Loss: 0.4727591872215271
Episode 55: Reward: 14.0, Loss: 0.43157851696014404
Episode 56: Reward: 12.0, Loss: 0.5528756380081177
Episode 57: Reward: 18.0, Loss: 0.3096104562282562
Episode 58: Reward: 9.0, Loss: 0.44981712102890015
Episode 59: Reward: 12.0, Loss: 0.3336327075958252
Episode 60: Reward: 20.0, Loss: 0.3951036036014557
Episode 61: Reward: 18.0, Loss: 0.3450678288936615
Episode 62: Reward: 32.0, Loss: 0.4954506456851959
Episode 63: Reward: 10.0, Loss: 0.49160897731781006
Episode 64: Reward: 22.0, Loss: 0.4679415822029114
Episode 65: Reward: 11.0, Loss: 0.24916334450244904
Episode 66: Reward: 18.0, Loss: 0.3833216428756714
Episode 67: Reward: 15.0, Loss: 0.3307804465293884
Episode 68: Reward: 11.0, Loss: 0.4044076204299927
Episode 69: Reward: 18.0, Loss: 0.38615313172340393
Episode 70: Reward: 13.0, Loss: 0.3257328271865845
Episode 71: Reward: 15.0, Loss: 0.36818212270736694
Episode 72: Reward: 39.0, Loss: 0.22734537720680237
Episode 73: Reward: 9.0, Loss: 0.3285555839538574
Episode 74: Reward: 56.0, Loss: 0.3091641068458557
Episode 75: Reward: 17.0, Loss: 0.26822805404663086
Episode 76: Reward: 10.0, Loss: 0.6489487886428833
Episode 77: Reward: 30.0, Loss: 0.4545409679412842
Episode 78: Reward: 29.0, Loss: 0.31146812438964844
Episode 79: Reward: 22.0, Loss: 0.3012218773365021
Episode 80: Reward: 62.0, Loss: 0.3143818974494934
Episode 81: Reward: 51.0, Loss: 0.37872451543807983
Episode 82: Reward: 17.0, Loss: 0.2951957583427429
Episode 83: Reward: 10.0, Loss: 0.39569929242134094
Episode 84: Reward: 14.0, Loss: 0.4683285355567932
Episode 85: Reward: 26.0, Loss: 0.2526713013648987
Episode 86: Reward: 23.0, Loss: 0.33234888315200806
Episode 87: Reward: 15.0, Loss: 0.29746535420417786
Episode 88: Reward: 45.0, Loss: 0.3076017498970032
Episode 89: Reward: 17.0, Loss: 0.28887301683425903
Episode 90: Reward: 27.0, Loss: 0.22194671630859375
Episode 91: Reward: 20.0, Loss: 0.30752408504486084
Episode 92: Reward: 17.0, Loss: 0.2444327175617218
Episode 93: Reward: 49.0, Loss: 0.18035775423049927
Episode 94: Reward: 35.0, Loss: 0.2981113791465759
Episode 95: Reward: 38.0, Loss: 0.4023042321205139
Episode 96: Reward: 23.0, Loss: 0.28236621618270874
Episode 97: Reward: 18.0, Loss: 0.2903960049152374
Episode 98: Reward: 38.0, Loss: 0.3225131034851074
Episode 99: Reward: 12.0, Loss: 0.2002837210893631
Episode 100: Reward: 29.0, Loss: 0.33963635563850403
Episode 101: Reward: 18.0, Loss: 0.2304413914680481
Episode 102: Reward: 17.0, Loss: 0.37078624963760376
Episode 103: Reward: 12.0, Loss: 0.33772143721580505
Episode 104: Reward: 16.0, Loss: 0.34093254804611206
Episode 105: Reward: 14.0, Loss: 0.34041357040405273
Episode 106: Reward: 15.0, Loss: 0.44229045510292053
Episode 107: Reward: 33.0, Loss: 0.41780683398246765
Episode 108: Reward: 32.0, Loss: 0.36295947432518005
Episode 109: Reward: 19.0, Loss: 0.24099059402942657
Episode 110: Reward: 14.0, Loss: 0.1986401230096817
Episode 111: Reward: 19.0, Loss: 0.27416592836380005
Episode 112: Reward: 58.0, Loss: 0.3107674717903137
Episode 113: Reward: 31.0, Loss: 0.40909451246261597
Episode 114: Reward: 25.0, Loss: 0.34706002473831177
Episode 115: Reward: 18.0, Loss: 0.2264411598443985
Episode 116: Reward: 22.0, Loss: 0.30655336380004883
Episode 117: Reward: 20.0, Loss: 0.40434977412223816
Episode 118: Reward: 17.0, Loss: 0.27374666929244995
Episode 119: Reward: 10.0, Loss: 0.3987804651260376
Episode 120: Reward: 47.0, Loss: 0.2782868444919586
Episode 121: Reward: 14.0, Loss: 0.2530441880226135
Episode 122: Reward: 14.0, Loss: 0.16985946893692017
Episode 123: Reward: 41.0, Loss: 0.2821867763996124
Episode 124: Reward: 72.0, Loss: 0.3760218024253845
Episode 125: Reward: 11.0, Loss: 0.21273601055145264
Episode 126: Reward: 20.0, Loss: 0.22044271230697632
Episode 127: Reward: 20.0, Loss: 0.3789291977882385
Episode 128: Reward: 19.0, Loss: 0.23473359644412994
Episode 129: Reward: 27.0, Loss: 0.18384872376918793
Episode 130: Reward: 9.0, Loss: 0.21837535500526428
Episode 131: Reward: 46.0, Loss: 0.36177757382392883
Episode 132: Reward: 10.0, Loss: 0.3590092062950134
Episode 133: Reward: 27.0, Loss: 0.3753465414047241
Episode 134: Reward: 17.0, Loss: 0.29658815264701843
Episode 135: Reward: 39.0, Loss: 0.27571484446525574
Episode 136: Reward: 17.0, Loss: 0.4178593158721924
Episode 137: Reward: 18.0, Loss: 0.44761186838150024
Episode 138: Reward: 9.0, Loss: 0.18638357520103455
Episode 139: Reward: 44.0, Loss: 0.1341182291507721
Episode 140: Reward: 71.0, Loss: 0.23555681109428406
Episode 141: Reward: 41.0, Loss: 0.3123283386230469
Episode 142: Reward: 18.0, Loss: 0.2796117961406708
Episode 143: Reward: 29.0, Loss: 0.2701606750488281
Episode 144: Reward: 13.0, Loss: 0.26997533440589905
Episode 145: Reward: 21.0, Loss: 0.26492372155189514
Episode 146: Reward: 33.0, Loss: 0.3237062692642212
Episode 147: Reward: 22.0, Loss: 0.18386048078536987
Episode 148: Reward: 21.0, Loss: 0.3933626413345337
Episode 149: Reward: 25.0, Loss: 0.2631441056728363
Episode 150: Reward: 32.0, Loss: 0.2927527129650116
Episode 151: Reward: 13.0, Loss: 0.40781378746032715
Episode 152: Reward: 19.0, Loss: 0.19686418771743774
Episode 153: Reward: 27.0, Loss: 0.2797216773033142
Episode 154: Reward: 23.0, Loss: 0.286659300327301
Episode 155: Reward: 12.0, Loss: 0.326183557510376
Episode 156: Reward: 26.0, Loss: 0.19606566429138184
Episode 157: Reward: 10.0, Loss: 0.32363006472587585
Episode 158: Reward: 18.0, Loss: 0.3611122965812683
Episode 159: Reward: 16.0, Loss: 0.1926913857460022
Episode 160: Reward: 16.0, Loss: 0.18650150299072266
Episode 161: Reward: 34.0, Loss: 0.17389513552188873
