C:\Users\UMI\Desktop\disrl\myenv\Lib\site-packages\gym\utils\passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode 1: Reward: 13.0, Loss: None
Episode 2: Reward: 11.0, Loss: None
Episode 3: Reward: 9.0, Loss: 0.49429214000701904
Episode 4: Reward: 9.0, Loss: 0.4897780418395996
Episode 5: Reward: 10.0, Loss: 0.4822261333465576
Episode 6: Reward: 9.0, Loss: 0.47548025846481323
Episode 7: Reward: 8.0, Loss: 0.46681731939315796
Episode 8: Reward: 10.0, Loss: 0.45984646677970886
Episode 9: Reward: 10.0, Loss: 0.4525957703590393
Episode 10: Reward: 10.0, Loss: 0.44477540254592896
Episode 11: Reward: 9.0, Loss: 0.4272838234901428
Episode 12: Reward: 9.0, Loss: 0.41458046436309814
Episode 13: Reward: 9.0, Loss: 0.41952845454216003
Episode 14: Reward: 11.0, Loss: 0.38612109422683716
Episode 15: Reward: 11.0, Loss: 0.3593016266822815
Episode 16: Reward: 10.0, Loss: 0.3378526568412781
Episode 17: Reward: 11.0, Loss: 0.3329666256904602
Episode 18: Reward: 9.0, Loss: 0.3235635757446289
Episode 19: Reward: 10.0, Loss: 0.2646017074584961
Episode 20: Reward: 10.0, Loss: 0.2661189138889313
Episode 21: Reward: 8.0, Loss: 0.23784217238426208
Episode 22: Reward: 10.0, Loss: 0.21387144923210144
Episode 23: Reward: 11.0, Loss: 0.20796185731887817
Episode 24: Reward: 14.0, Loss: 0.1418752372264862
Episode 25: Reward: 9.0, Loss: 0.13681235909461975
Episode 26: Reward: 11.0, Loss: 0.14353227615356445
Episode 27: Reward: 10.0, Loss: 0.1424173265695572
Episode 28: Reward: 12.0, Loss: 0.11153906583786011
Episode 29: Reward: 10.0, Loss: 0.14838019013404846
Episode 30: Reward: 10.0, Loss: 0.09778391569852829
Episode 31: Reward: 15.0, Loss: 0.0953410416841507
Episode 32: Reward: 9.0, Loss: 0.10177751630544662
Episode 33: Reward: 10.0, Loss: 0.09825081378221512
Episode 34: Reward: 10.0, Loss: 0.08828425407409668
Episode 35: Reward: 9.0, Loss: 0.0861339420080185
Episode 36: Reward: 11.0, Loss: 0.09897240996360779
