C:\Users\UMI\Desktop\disrl\myenv\Lib\site-packages\gym\utils\passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
Episode 1: Reward: 18.0, Loss: None
Episode 2: Reward: 12.0, Loss: None
Episode 3: Reward: 17.0, Loss: 3.9176220893859863
Episode 4: Reward: 12.0, Loss: 3.9115772247314453
Episode 5: Reward: 22.0, Loss: 3.8726868629455566
Episode 6: Reward: 13.0, Loss: 3.842391014099121
Episode 7: Reward: 13.0, Loss: 3.827155351638794
Episode 8: Reward: 27.0, Loss: 3.751042127609253
Episode 9: Reward: 22.0, Loss: 3.7165048122406006
Episode 10: Reward: 13.0, Loss: 3.680664300918579
Episode 11: Reward: 45.0, Loss: 3.6181206703186035
Episode 12: Reward: 9.0, Loss: 3.5508179664611816
Episode 13: Reward: 20.0, Loss: 3.3728232383728027
Episode 14: Reward: 29.0, Loss: 3.3040595054626465
Episode 15: Reward: 16.0, Loss: 3.124634027481079
Episode 16: Reward: 14.0, Loss: 3.110222339630127
Episode 17: Reward: 11.0, Loss: 2.9789750576019287
Episode 18: Reward: 30.0, Loss: 2.8464250564575195
Episode 19: Reward: 15.0, Loss: 2.81219482421875
C:\Users\UMI\Desktop\disrl\c51.py:117: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
  return int(action)  # Ensure action is an integer
Episode 20: Reward: 24.0, Loss: 2.5072193145751953
Episode 21: Reward: 29.0, Loss: 2.3588647842407227
Episode 22: Reward: 14.0, Loss: 2.3119044303894043
Episode 23: Reward: 14.0, Loss: 2.0390512943267822
Episode 24: Reward: 14.0, Loss: 2.0083723068237305
Episode 25: Reward: 10.0, Loss: 1.9208399057388306
Episode 26: Reward: 12.0, Loss: 1.7444684505462646
Episode 27: Reward: 25.0, Loss: 1.4635990858078003
Episode 28: Reward: 24.0, Loss: 1.4798831939697266
Episode 29: Reward: 15.0, Loss: 1.4261654615402222
Episode 30: Reward: 11.0, Loss: 1.5103111267089844
Episode 31: Reward: 13.0, Loss: 1.3058130741119385
Episode 32: Reward: 10.0, Loss: 1.2943027019500732
Episode 33: Reward: 18.0, Loss: 1.2437324523925781
Episode 34: Reward: 12.0, Loss: 0.9121313691139221
Episode 35: Reward: 16.0, Loss: 1.064608097076416
Episode 36: Reward: 18.0, Loss: 1.0673298835754395
Episode 37: Reward: 16.0, Loss: 0.8512560129165649
Episode 38: Reward: 18.0, Loss: 0.8514906764030457
Episode 39: Reward: 13.0, Loss: 0.8212563395500183
Episode 40: Reward: 29.0, Loss: 0.730172872543335
Episode 41: Reward: 23.0, Loss: 0.759162187576294
Episode 42: Reward: 14.0, Loss: 0.5024783611297607
Episode 43: Reward: 17.0, Loss: 0.707244873046875
