2024-09-01 13:48:29,082 INFO    MainThread:10728 [wandb_setup.py:_flush():77] Current SDK version is 0.17.8
2024-09-01 13:48:29,083 INFO    MainThread:10728 [wandb_setup.py:_flush():77] Configure stats pid to 10728
2024-09-01 13:48:29,083 INFO    MainThread:10728 [wandb_setup.py:_flush():77] Loading settings from C:\Users\UMI\.config\wandb\settings
2024-09-01 13:48:29,083 INFO    MainThread:10728 [wandb_setup.py:_flush():77] Loading settings from C:\Users\UMI\Desktop\gan\wandb\settings
2024-09-01 13:48:29,083 INFO    MainThread:10728 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-09-01 13:48:29,083 INFO    MainThread:10728 [wandb_setup.py:_flush():77] Applying setup settings: {'_disable_service': False}
2024-09-01 13:48:29,084 INFO    MainThread:10728 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'gan.py', 'program_abspath': 'C:\\Users\\UMI\\Desktop\\gan\\gan.py', 'program': 'C:\\Users\\UMI\\Desktop\\gan\\gan.py'}
2024-09-01 13:48:29,084 INFO    MainThread:10728 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-09-01 13:48:29,085 INFO    MainThread:10728 [wandb_init.py:_log_setup():524] Logging user logs to C:\Users\UMI\Desktop\gan\wandb\run-20240901_134829-j2u10rpm\logs\debug.log
2024-09-01 13:48:29,085 INFO    MainThread:10728 [wandb_init.py:_log_setup():525] Logging internal logs to C:\Users\UMI\Desktop\gan\wandb\run-20240901_134829-j2u10rpm\logs\debug-internal.log
2024-09-01 13:48:29,085 INFO    MainThread:10728 [wandb_init.py:init():607] calling init triggers
2024-09-01 13:48:29,085 INFO    MainThread:10728 [wandb_init.py:init():614] wandb.init called with sweep_config: {}
config: {}
2024-09-01 13:48:29,085 INFO    MainThread:10728 [wandb_init.py:init():657] starting backend
2024-09-01 13:48:29,085 INFO    MainThread:10728 [wandb_init.py:init():661] setting up manager
2024-09-01 13:48:29,086 INFO    MainThread:10728 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-09-01 13:48:29,088 INFO    MainThread:10728 [wandb_init.py:init():669] backend started and connected
2024-09-01 13:48:29,092 INFO    MainThread:10728 [wandb_init.py:init():767] updated telemetry
2024-09-01 13:48:29,093 INFO    MainThread:10728 [wandb_init.py:init():800] communicating run to backend with 90.0 second timeout
2024-09-01 13:48:29,715 INFO    MainThread:10728 [wandb_init.py:init():851] starting run threads in backend
2024-09-01 13:48:29,849 INFO    MainThread:10728 [wandb_run.py:_console_start():2463] atexit reg
2024-09-01 13:48:29,849 INFO    MainThread:10728 [wandb_run.py:_redirect():2309] redirect: wrap_raw
2024-09-01 13:48:29,849 INFO    MainThread:10728 [wandb_run.py:_redirect():2374] Wrapping output streams.
2024-09-01 13:48:29,849 INFO    MainThread:10728 [wandb_run.py:_redirect():2399] Redirects installed.
2024-09-01 13:48:29,852 INFO    MainThread:10728 [wandb_init.py:init():894] run started, returning control to user process
2024-09-01 13:48:35,467 WARNING MsgRouterThr:10728 [router.py:message_loop():77] message_loop has been closed
